Timestamp,RMS Velocity (mm/s),Crest Factor,FFT Velocity Highest Peak Amplitude (mm/s - RMS),FFT Velocity Highest Peak Frequency (Hz),FFT Velocity Band 0 Power (mm/s - RMS),FFT Velocity Band 1 Power (mm/s - RMS),FFT Velocity Band 2 Power (mm/s - RMS),FFT Velocity Band 3 Power (mm/s - RMS),FFT Velocity Band 4 Power (mm/s - RMS),FFT Velocity Band 5 Power (mm/s - RMS),FFT Velocity Band 6 Power (mm/s - RMS),FFT Velocity Band 7 Power (mm/s - RMS),Kurtosis,Peak Acceleration (m/s^2),Peak Velocity (mm/s),Peak-to-Peak Acceleration (m/s^2),RMS Acceleration (m/s^2)
2025-03-19T06:00:00,0.05973754306927424,2.9698678733271056,0.03,16.47,0.048,0.022,0.014,0.007,0.005,0.008,0.02,0.002,2.20356387217191,0.17121758942731605,0.23091913465557595,0.3294000029563904,0.05765158476073993
2025-03-19T06:59:58,0.08380445480762139,3.2245828752792995,0.03,13.52,0.051,0.052,0.024,0.01,0.007,0.008,0.017,0.002,2.225774196904662,0.19025030444188612,0.27288451834097416,0.3458700031042099,0.058999973578104256
2025-03-19T07:59:58,0.2187126737328411,3.614205113978943,0.13,14.11,0.183,0.109,0.088,0.02,0.013,0.01,0.005,0.006,2.4068469390172424,0.23456168179270914,0.6742301079070866,0.4282200038433075,0.06489993633329681
2025-03-19T08:59:58,0.4258510850856318,3.183212857625206,0.35,24.7,0.212,0.208,0.365,0.017,0.014,0.011,0.006,0.004,2.600352055745981,0.2690278735082959,1.139229326067846,0.5270400047302246,0.08451457239620494
2025-03-19T09:59:58,0.43614269443779236,3.570546583414704,0.32,24.7,0.193,0.227,0.304,0.019,0.014,0.011,0.006,0.005,2.637786123272725,0.30500953398748404,1.0958992770332079,0.5929200053215027,0.08542376548292703
2025-03-19T10:59:58,0.4406317981116506,3.3389990094138366,0.33,24.7,0.251,0.094,0.337,0.025,0.017,0.011,0.006,0.005,2.561461980315907,0.2869204127313828,1.253685501816613,0.5599800050258636,0.08593006823974825
2025-03-19T11:59:58,0.4452923909063744,3.4445929510203888,0.37,24.7,0.26,0.11,0.389,0.025,0.016,0.011,0.006,0.005,2.6214510185022175,0.29488377217785455,1.2807970927090577,0.5764500051736832,0.08560772676797744
2025-03-19T12:59:58,0.3922840555527367,3.3813711479645194,0.27,24.7,0.193,0.161,0.243,0.03,0.018,0.012,0.005,0.006,2.614511646003022,0.28181642831057413,1.0079972449874712,0.5270400047302246,0.08334383182994239
2025-03-19T13:59:58,0.4603962495482464,3.2479431386344984,0.28,24.7,0.208,0.122,0.315,0.03,0.018,0.011,0.005,0.006,2.627563256155566,0.28373757090594154,1.302689926809398,0.5435100048780441,0.08735915587033048
2025-03-19T14:59:58,0.45678600652078843,3.215054321485564,0.38,24.7,0.156,0.399,0.059,0.023,0.016,0.01,0.005,0.006,2.593113810280291,0.2936042018538703,1.2084226885274107,0.5764500051736832,0.09132169241800124
2025-03-19T15:59:58,0.5350797417967337,3.2305783292034054,0.48,24.7,0.135,0.155,0.502,0.023,0.017,0.01,0.009,0.003,2.445471526011862,0.32325413376060574,1.218807221595769,0.6258600056171417,0.1000607633743131
2025-03-19T16:59:58,0.5334322123289748,3.271973959427209,0.43,24.7,0.168,0.247,0.44,0.023,0.017,0.012,0.014,0.003,2.5762164654797197,0.3219834989835767,1.3571719628370253,0.6093900054693222,0.09840649802724685
2025-03-19T17:59:58,0.6456781960604697,3.12250930552697,0.49,24.7,0.191,0.266,0.495,0.029,0.023,0.01,0.017,0.002,2.487508200315157,0.3385446417103392,1.662399381746124,0.6752700060606003,0.10842069905479586
2025-03-19T18:59:58,0.5108106732184015,3.352598275920461,0.4,24.7,0.269,0.205,0.409,0.032,0.016,0.01,0.019,0.002,2.5905380812298913,0.313298147343125,1.3356379677487704,0.6093900054693222,0.09344935526374942
2025-03-19T19:59:58,0.5128782503619974,2.990179677020875,0.42,24.7,0.201,0.109,0.432,0.019,0.019,0.013,0.019,0.002,2.5338599386119354,0.280270578687325,1.3968572575880176,0.5599800050258636,0.09373034698923492
2025-03-19T20:59:58,0.5220458055207174,3.1107867083511698,0.38,24.7,0.234,0.134,0.392,0.019,0.019,0.011,0.014,0.002,2.587059073353082,0.2970140065719736,1.3571684214983808,0.5929200053215027,0.09547874361640236
2025-03-19T21:59:58,0.4970205690893978,3.0536155936539524,0.4,24.7,0.242,0.182,0.424,0.019,0.02,0.011,0.013,0.002,2.6184450193782154,0.28999424088397063,1.4375625835698578,0.5764500051736832,0.09496750065287815
2025-03-19T22:59:58,0.40612501596375655,3.4097987587172613,0.25,24.7,0.271,0.28,0.049,0.015,0.021,0.009,0.015,0.003,2.6901908972316857,0.2922960377796294,1.0710688623758047,0.5599800050258636,0.08572237204097899
2025-03-19T23:59:58,0.4363766201700278,3.5149223333023265,0.27,24.7,0.239,0.221,0.279,0.02,0.023,0.011,0.016,0.003,2.704301202161701,0.314885100482368,1.3116705115600167,0.5929200053215027,0.089585222836639
2025-03-20T00:59:58,0.5288332780030984,3.7912594820333583,0.29,24.7,0.254,0.255,0.312,0.019,0.02,0.011,0.014,0.003,2.873943089431942,0.3622077571570925,1.5939019246720756,0.6752700060606003,0.09553758028791803
2025-03-20T01:59:58,0.4660815165554447,3.2647512527226317,0.38,24.7,0.224,0.409,0.059,0.017,0.017,0.01,0.011,0.002,2.637240636920615,0.2946603835039746,1.1751856124624644,0.5599800050258636,0.09025507939027308
2025-03-20T02:59:58,0.4139906646145354,3.3264059692597447,0.31,24.7,0.166,0.117,0.317,0.02,0.017,0.01,0.006,0.006,2.6333498343290875,0.2855782935787122,1.1089164773525442,0.5599800050258636,0.08585190629701296
2025-03-20T03:59:58,0.45806450884029454,3.189561122972844,0.36,24.7,0.25,0.389,0.045,0.017,0.019,0.012,0.005,0.004,2.6451817104860855,0.2798541821992128,1.3891109715127097,0.5435100048780441,0.08774065503355945
2025-03-20T04:59:58,0.43004403730413954,4.478932552486163,0.21,24.7,0.255,0.16,0.212,0.019,0.019,0.011,0.006,0.004,2.8072880783619856,0.3653387728101936,1.2631518418467438,0.6258600056171417,0.08156826844990143
2025-03-20T05:59:58,0.35596787253778006,3.257215409152829,0.2,24.7,0.188,0.206,0.213,0.019,0.021,0.01,0.006,0.004,2.632807202323708,0.2582909202869309,1.066659312363294,0.5105700045824051,0.07929807760368847
2025-03-20T06:59:58,0.37359141286694414,2.9972672867052688,0.29,24.7,0.16,0.117,0.314,0.014,0.018,0.011,0.005,0.004,2.6789566103315336,0.2432899240585458,0.9680668644204774,0.47763000428676605,0.08117057999387871
2025-03-20T07:59:58,0.4577946678250451,3.621234221428742,0.3,24.7,0.271,0.152,0.319,0.018,0.015,0.012,0.006,0.003,2.666423380698755,0.3026022976377539,1.5530709597090238,0.5599800050258636,0.08356330442452395
2025-03-20T08:59:58,0.45046706768725764,2.979029203055557,0.36,24.7,0.24,0.117,0.368,0.016,0.018,0.011,0.005,0.003,2.5544818129553017,0.2598028148317503,1.1817743628673747,0.5105700045824051,0.08721056328191527
2025-03-20T09:59:58,0.3675739448496581,3.454899312564532,0.26,24.7,0.206,0.274,0.048,0.016,0.017,0.011,0.005,0.003,2.675154380260847,0.27263426025941345,0.9580490591560652,0.5105700045824051,0.07891236056226489
