N training_signals,band0,band1,band2,band3,band4,band5,band6,band7
15,3.063308249693363905e-04,4.870265722274780273e-02,1.912420988082885742e-02,2.516090869903564453e-02,3.514185664243996143e-04,2.064937725663185120e-04,6.549705176439601928e-06,2.398693904979154468e-04
30,2.760163624770939350e-04,3.991371393203735352e-02,4.431056976318359375e-02,2.025318145751953125e-02,2.847680880222469568e-04,1.024520533974282444e-04,2.040653052972629666e-04,2.231333055533468723e-04
45,1.606716105015948415e-04,1.732599735260009766e-02,2.026957273483276367e-02,2.392637729644775391e-02,2.028987510129809380e-04,1.335826236754655838e-04,9.473101090406998992e-05,2.189171063946560025e-04
#----------EPOCH Effect---------------
EPOCH,band0,band1,band2,band3,band4,band5,band6,band7
30,2.564805035945028067e-04,4.827654361724853516e-02,3.180277347564697266e-02,2.045428752899169922e-02,4.658609395846724510e-04,3.145477676298469305e-04,1.270371867576614022e-04,5.452573532238602638e-04
50,2.396747440798208117e-04,1.520571112632751465e-02,1.683191023766994476e-02,1.853299140930175781e-02,1.711657969281077385e-04,1.282278972212225199e-04,1.759104925440624356e-04,1.513611641712486744e-04
70,3.461151500232517719e-04,2.100360393524169922e-02,2.887803316116333008e-02,1.691704988479614258e-02,2.918346726801246405e-04,1.916360197355970740e-04,3.348090394865721464e-04,9.775305079529061913e-05

#----------Filter Batchsize Effect---------------
Batch,band0,band1,band2,band3,band4,band5,band6,band7
6,2.513782819733023643e-04,2.363991737365722656e-02,3.744143247604370117e-02,2.151662111282348633e-02,7.017758907750248909e-04,8.491497283102944493e-05,1.652919454500079155e-04,2.888426824938505888e-04
8,2.192884712712839246e-04,6.501185894012451172e-02,2.931964397430419922e-02,1.271295547485351562e-02,1.656468375585973263e-04,3.196534526068717241e-04,4.155340866418555379e-05,1.345349883195012808e-04
10,2.151469525415450335e-04,3.592163324356079102e-02,4.744201898574829102e-02,1.725393533706665039e-02,1.637960376683622599e-04,2.086656604660674930e-04,1.890273561002686620e-04,1.567634608363732696e-04
